"","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G3"
"1","F",18,1,1,1,"higher education","higher education",1,0,0,"15-30mins","2-5hrs",0,1,0,0,0,1,1,0,0,"good","not sure","high","very low","very low","not sure",6,5,6
"2","F",17,1,1,0,"primary education","primary education",1,3,1,"<15mins","2-5hrs",0,0,1,0,0,0,1,1,0,"excellent","not sure","not sure","very low","very low","not sure",4,5,6
"3","F",15,1,0,0,"primary education","primary education",1,3,0,"<15mins","2-5hrs",3,1,0,1,0,1,1,1,0,"good","not sure","low","low","not sure","not sure",10,7,10
"4","F",15,1,1,0,"higher education","5th-9th grade",4,2,0,"<15mins","5-10hrs",0,0,1,1,1,1,1,1,1,"not sure","low","low","very low","very low","very high",2,15,15
"5","F",16,1,1,0,"secondary education","secondary education",3,3,1,"<15mins","2-5hrs",0,0,1,1,0,1,1,0,0,"good","not sure","low","very low","low","very high",4,6,10
"6","M",16,1,0,0,"higher education","secondary education",2,3,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,0,"excellent","high","low","very low","low","very high",10,15,15
"7","M",16,1,0,0,"5th-9th grade","5th-9th grade",3,3,0,"<15mins","2-5hrs",0,0,0,0,0,1,1,1,0,"good","high","high","very low","very low","not sure",0,12,11
"8","F",17,1,1,1,"higher education","higher education",3,0,0,"15-30mins","2-5hrs",0,1,1,0,0,1,1,0,0,"good","very low","high","very low","very low","very low",6,6,6
"9","M",15,1,0,1,"secondary education","5th-9th grade",2,3,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,0,"good","low","low","very low","very low","very low",0,16,19
"10","M",15,1,1,0,"secondary education","higher education",3,3,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,0,"excellent","very high","very low","very low","very low","very high",0,14,15
"11","F",15,1,1,0,"higher education","higher education",0,4,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,0,"not sure","not sure","not sure","very low","low","low",0,10,9
"12","F",15,1,1,0,"5th-9th grade","primary education",2,3,1,"30mins-1hr","5-10hrs",0,0,1,0,1,1,1,1,0,"excellent","low","low","very low","very low","high",4,10,12
"13","M",15,1,0,0,"higher education","higher education",4,2,1,"<15mins","<2hrs",0,0,1,1,1,1,1,1,0,"good","not sure","not sure","very low","not sure","very high",2,14,14
"14","M",15,1,1,0,"higher education","secondary education",0,3,0,"15-30mins","2-5hrs",0,0,1,1,0,1,1,1,0,"excellent","high","not sure","very low","low","not sure",2,10,11
"15","M",15,1,1,1,"5th-9th grade","5th-9th grade",3,3,2,"<15mins","5-10hrs",0,0,1,0,0,1,1,1,1,"good","very high","low","very low","very low","not sure",0,14,16
"16","F",16,1,1,0,"higher education","higher education",4,3,0,"<15mins","<2hrs",0,0,1,0,0,1,1,1,0,"good","high","high","very low","low","low",4,14,14
"17","F",16,1,1,0,"higher education","higher education",2,2,0,"<15mins","5-10hrs",0,0,1,1,1,1,1,1,0,"not sure","low","not sure","very low","low","low",6,13,14
"18","F",16,1,1,0,"secondary education","secondary education",3,3,0,"30mins-1hr","2-5hrs",0,1,1,0,1,1,1,0,0,"excellent","not sure","low","very low","very low","high",4,8,10
"19","M",17,1,1,0,"secondary education","5th-9th grade",2,2,0,"<15mins","<2hrs",3,0,1,0,1,1,1,1,0,"excellent","very high","very high","low","high","very high",16,6,5
"20","M",16,1,0,0,"higher education","secondary education",4,3,1,"<15mins","<2hrs",0,0,0,1,1,1,1,1,0,"not sure","very low","not sure","very low","not sure","very high",4,8,10
"21","M",15,1,1,0,"higher education","secondary education",0,3,0,"<15mins","2-5hrs",0,0,0,0,0,1,1,1,0,"good","high","very low","very low","very low","very low",0,13,15
"22","M",15,1,1,0,"higher education","higher education",4,4,1,"<15mins","<2hrs",0,0,1,1,0,1,1,1,0,"excellent","high","low","very low","very low","very high",0,12,15
"23","M",16,1,0,0,"higher education","5th-9th grade",0,3,0,"<15mins","2-5hrs",0,0,0,0,1,1,1,1,0,"good","very high","very low","very low","not sure","very high",2,15,16
"24","M",16,1,0,0,"5th-9th grade","5th-9th grade",3,3,0,"15-30mins","2-5hrs",0,0,1,0,1,1,1,1,0,"excellent","high","high","low","high","very high",0,13,12
"25","F",15,0,1,0,"5th-9th grade","higher education",2,4,0,"<15mins","5-10hrs",0,1,1,1,1,1,1,1,0,"good","not sure","low","very low","very low","very high",2,10,8
"26","F",16,1,1,0,"5th-9th grade","5th-9th grade",2,2,0,"<15mins","<2hrs",2,0,1,1,0,0,1,1,0,"very bad","low","low","very low","not sure","very high",14,6,8
"27","M",15,1,1,0,"5th-9th grade","5th-9th grade",3,3,0,"<15mins","<2hrs",0,0,1,1,0,1,1,1,0,"good","low","low","very low","low","very high",2,12,11
"28","M",15,1,1,0,"higher education","5th-9th grade",4,2,0,"<15mins","<2hrs",0,0,0,1,0,1,1,1,0,"bad","low","high","low","high","very low",4,15,15
"29","M",16,1,0,1,"secondary education","higher education",2,3,0,"<15mins","2-5hrs",0,1,1,0,1,1,1,1,0,"excellent","not sure","not sure","very low","very low","very high",4,11,11
"30","M",16,1,1,0,"higher education","higher education",0,0,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,1,"good","high","very high","very high","very high","very high",16,10,11
"31","M",15,1,1,0,"higher education","higher education",4,2,0,"<15mins","2-5hrs",0,0,1,1,0,0,1,1,0,"excellent","high","low","not sure","high","very high",0,9,12
"32","M",15,1,1,0,"higher education","higher education",2,2,0,"15-30mins","2-5hrs",0,0,1,0,1,1,1,1,0,"good","not sure","very low","very low","very low","very high",0,17,17
"33","M",15,0,1,0,"higher education","secondary education",0,1,0,"<15mins","2-5hrs",0,0,1,0,1,1,1,1,1,"good","very high","low","very low","very low","very high",0,17,16
"34","M",15,1,0,0,"secondary education","secondary education",3,3,0,"<15mins","2-5hrs",0,0,0,0,1,0,1,1,0,"excellent","not sure","low","very low","very low","low",0,8,12
"35","M",16,1,1,0,"secondary education","5th-9th grade",3,3,0,"<15mins","<2hrs",0,0,1,1,0,0,1,1,0,"excellent","high","not sure","very low","very low","very high",0,12,15
"36","F",15,1,1,0,"5th-9th grade","secondary education",3,3,1,"15-30mins","<2hrs",0,0,1,0,1,1,1,0,0,"not sure","very high","very low","very low","very low","very high",0,8,6
"37","M",15,1,0,0,"higher education","secondary education",0,2,0,"<15mins","5-10hrs",0,0,1,0,1,1,1,1,0,"excellent","high","not sure","very low","very low","high",2,15,18
"38","M",16,0,1,1,"higher education","higher education",3,0,0,"15-30mins","5-10hrs",0,0,1,0,1,1,1,1,1,"bad","high","not sure","very low","very low","very high",7,15,15
"39","F",15,0,1,0,"secondary education","higher education",2,4,0,"<15mins","5-10hrs",0,1,1,1,1,1,1,1,0,"good","not sure","low","very low","very low","very high",2,12,11
"40","F",15,0,1,0,"5th-9th grade","5th-9th grade",1,3,0,"<15mins","<2hrs",0,1,1,1,1,1,1,0,0,"good","not sure","very low","very low","very low","low",8,14,13
"41","F",16,1,0,0,"5th-9th grade","5th-9th grade",3,3,0,"15-30mins","2-5hrs",1,0,1,0,1,0,1,1,1,"not sure","not sure","not sure","very low","low","not sure",25,7,11
"42","M",15,1,0,0,"higher education","higher education",0,3,2,"<15mins","<2hrs",0,0,1,0,0,0,1,1,1,"excellent","high","not sure","low","high","very high",8,12,12
"43","M",15,1,1,0,"higher education","higher education",2,0,1,"<15mins","2-5hrs",0,0,1,0,1,1,1,1,0,"good","not sure","not sure","very low","very low","very high",2,19,18
